"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.396272917E-1,6.748792352E-3,-1.015455793E-2,-6.538356543E-3
8.496142917E-1,-1.818767292E-3,-6.507649524E-3,-2.000975668E-2
8.596002917E-1,-1.869199527E-3,9.732233640E-4,-1.147808433E-2
8.695862917E-1,-1.893026931E-3,8.234980982E-3,-7.137696147E-3
8.795722917E-1,3.322744248E-3,-7.291998686E-3,-1.177863121E-2
8.895582917E-1,-5.446315929E-4,-1.413715133E-2,-1.956244469E-2
8.995442917E-1,-5.234783767E-3,-1.266523356E-2,-2.420279503E-2
9.095302917E-1,-1.810809597E-4,5.981884338E-3,-8.184932470E-3
9.195162917E-1,-3.084744299E-3,-6.186792701E-3,-2.345902920E-3
9.295022917E-1,-5.190445427E-3,-1.137894661E-2,-6.986837983E-3
9.394882917E-1,1.065841433E-2,4.761744021E-3,-3.843374848E-3
9.494742917E-1,-6.911957078E-4,-2.528217277E-3,-1.222594321E-2
9.594602917E-1,-2.669235673E-3,1.980433669E-3,-2.479921103E-2
9.694472917E-1,4.702623188E-4,2.308014790E-3,-2.899049520E-2
9.794332917E-1,-1.085615071E-2,1.455052206E-3,-1.117753744E-2
9.894192917E-1,2.243640600E-3,-5.828294428E-3,-2.734274983E-2
9.994052917E-1,1.115869844E-2,-2.526408294E-3,-3.541658521E-3
1.009391292E0,-7.000853028E-4,-6.549667250E-3,-1.431983113E-2
1.019377292E0,-7.198105194E-4,8.599902056E-3,-1.132605672E-2
1.029363292E0,5.598745532E-3,1.607070677E-3,-2.315146565E-2
1.039349292E0,1.071912487E-2,-3.654655963E-3,-2.449866414E-2
1.049335292E0,3.834256846E-3,5.033995863E-4,-1.821115315E-2
1.059321292E0,-7.851156956E-3,-8.082642742E-3,-1.506769001E-2
1.069307292E0,-5.673900526E-4,-1.314884397E-2,-2.090613484E-2
1.079293292E0,1.588834673E-2,-6.670668069E-3,-7.284461260E-3
1.089279292E0,-1.126868092E-3,-1.324576157E-2,-1.731360555E-2
1.099266292E0,4.992791265E-3,-8.077060478E-3,-1.686512411E-2
1.109252292E0,1.495760704E-2,5.737306271E-3,-1.701598227E-2
1.119238292E0,6.683815168E-3,6.918261107E-3,-1.432158530E-2
1.129224292E0,6.227293806E-3,-3.913961705E-3,-1.941041708E-2
1.139210292E0,1.405204693E-3,-1.366338981E-2,-1.192598104E-2
1.149196292E0,1.056942701E-2,-5.415691137E-3,-1.911103964E-2
1.159182292E0,2.128560087E-3,7.133219372E-3,-1.881224692E-2
1.169168292E0,-1.851893596E-2,1.416734671E-3,-1.147691488E-2
1.179154292E0,-7.684776261E-3,-9.509646585E-3,-1.267383993E-2
1.189140292E0,5.053620581E-3,-5.703319330E-3,-1.895667315E-3
1.199126292E0,9.938019086E-3,-1.067013617E-2,-3.153403401E-2
1.209112292E0,1.256896463E-2,-1.219114314E-2,-1.611668050E-2
1.219099292E0,3.326928662E-3,2.229589010E-3,-9.979442954E-3
1.229085292E0,-2.488437938E-3,1.264844108E-3,-1.611726522E-2
1.239071292E0,-8.001375580E-3,-9.123465400E-3,-1.447010458E-2
1.249057292E0,-5.417335667E-3,-1.285053547E-2,-1.297263265E-2
1.259043292E0,-2.865153942E-3,-1.261014182E-2,-1.611726522E-2
1.269029292E0,-2.866222886E-3,-7.145553343E-3,-2.195571005E-2
1.279015292E0,8.496415475E-3,1.442297967E-3,-1.507061362E-2
1.289001292E0,1.455661596E-2,-5.116624329E-3,-1.192773521E-2
1.298987292E0,3.492057687E-3,7.856099680E-4,-1.282645226E-2
1.308973292E0,-4.111323506E-6,-4.793346394E-3,-2.016003013E-2
1.318959292E0,5.484532965E-3,-2.850243542E-3,-1.537057579E-2
1.328945292E0,3.654436693E-3,-3.816687791E-3,-4.144506454E-3
1.338931292E0,2.688147761E-3,6.464370992E-4,-1.207859337E-2
1.348918292E0,-4.958457146E-3,4.716601688E-4,-2.210773766E-2
1.358904292E0,9.665036341E-3,-7.545091761E-3,-1.881400108E-2
1.368890292E0,1.444997736E-2,8.794212341E-4,-2.330524743E-2
1.378876292E0,1.442503533E-2,-1.101391590E-2,3.638137579E-3
1.388862292E0,1.317240642E-2,-9.730223659E-4,-2.165984094E-2
1.398848292E0,-7.491827281E-3,9.001962086E-3,-1.417598963E-2
1.408834292E0,2.045620987E-3,-6.127690142E-3,-1.717034876E-2
1.418820292E0,4.224211313E-3,4.794515837E-3,-5.495213270E-3
1.428806292E0,2.860019356E-3,-8.395962138E-4,-1.537525356E-2
1.438792292E0,-5.156275760E-3,-2.979704551E-3,-2.046583951E-2
1.448778292E0,3.442237582E-3,-7.923616748E-3,-2.525646329E-2
1.458764292E0,4.733942337E-3,-5.432337429E-4,-1.448004484E-2
1.468750292E0,-1.138431874E-2,-6.518147103E-3,-2.211475432E-2
1.478737292E0,-8.562361104E-3,-7.840102063E-3,-4.452069998E-3
1.488723292E0,1.265419694E-3,9.398211446E-4,-1.493028045E-2
1.498709292E0,6.967816260E-3,9.736381508E-3,-1.762409270E-2
1.508695292E0,-1.218994629E-2,4.321202002E-3,-2.355843186E-3
1.518681292E0,1.571498136E-2,-3.644432472E-3,-1.103837371E-2
1.528667292E0,2.913457425E-3,-1.296726052E-2,-2.376191497E-2
1.538653292E0,-4.284556406E-3,1.959027378E-3,-3.603639007E-2
1.548639292E0,4.590087128E-3,-3.871030351E-3,-2.256382048E-2
1.558625292E0,-1.986408792E-4,-3.685445208E-3,-8.343976736E-3
1.568611292E0,1.101514930E-4,-5.668226900E-3,-1.283405364E-2
1.578597292E0,-7.601151941E-4,-6.892003454E-3,-1.702475309E-2
1.588583292E0,-2.492704578E-3,-3.443032438E-3,-5.348448157E-3
1.598569292E0,7.640081607E-3,-6.633620476E-3,-8.342222571E-3
1.608556292E0,4.924392547E-3,3.533454146E-4,-1.418008268E-2
1.618542292E0,3.249845915E-3,-8.632143969E-3,-1.208444059E-2
1.628528292E0,1.074427703E-2,-7.400930487E-3,-2.675451994E-2
1.638514292E0,5.414133403E-3,-6.513697738E-3,-2.376133025E-2
1.648500292E0,4.106435599E-3,1.433764687E-3,-1.867132902E-2
1.658486292E0,4.541728827E-3,-2.491187956E-3,-1.927008390E-2
1.668472292E0,-2.458959748E-3,-1.353941971E-2,-2.286261320E-2
1.678458292E0,3.537615719E-3,-1.769650681E-3,-2.944950163E-2
1.688444292E0,8.666039547E-3,-8.804052109E-3,-1.567813933E-2
1.698430292E0,9.267736310E-3,-8.914564485E-3,-2.181537688E-2
1.708416292E0,-1.189626531E-2,-1.115621338E-3,-4.302381277E-3
1.718402292E0,-5.177540439E-3,-6.545418883E-3,-2.076814055E-2
1.728388292E0,-4.230825976E-4,-9.512917371E-3,-3.154631317E-2
1.738374292E0,6.186482068E-3,-8.083684277E-3,-1.463207245E-2
1.748361292E0,6.002134890E-3,-5.932137324E-3,-1.627923310E-2
1.758347292E0,-1.473777001E-3,2.018513661E-3,-3.855069280E-3
1.768333292E0,1.594170257E-2,-2.747789361E-3,-2.226678193E-2
1.778319292E0,4.215897303E-3,4.023761451E-3,-7.447013855E-3
1.788305292E0,4.034670163E-4,-4.652748266E-3,1.235516667E-3
1.798291292E0,-4.510697471E-3,-4.783524899E-3,-1.433211029E-2
1.808277292E0,3.900485700E-3,-2.224956919E-4,-9.392382503E-3
1.818263292E0,-1.540101785E-4,-3.779393518E-3,-1.747615814E-2
