"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.695862917E-1,-7.903564453E-2,9.026229858E-2,9.802216187E0
8.795722917E-1,-7.379653931E-2,7.469467163E-2,9.797575836E0
8.895582917E-1,-7.768844604E-2,6.780899048E-2,9.789792023E0
8.995442917E-1,-8.232879639E-2,6.930587769E-2,9.785151672E0
9.095302917E-1,-7.738906860E-2,8.801696777E-2,9.801168365E0
9.195162917E-1,-8.038284302E-2,7.589218140E-2,9.807006226E0
9.295022917E-1,-8.247848511E-2,7.065307617E-2,9.802365875E0
9.394882917E-1,-6.661148071E-2,8.681945801E-2,9.805509338E0
9.494742917E-1,-7.798782349E-2,7.948471069E-2,9.797126770E0
9.594602917E-1,-8.008346558E-2,8.397537231E-2,9.784552917E0
9.694472917E-1,-7.694000244E-2,8.427474976E-2,9.780361633E0
9.794332917E-1,-8.831634521E-2,8.337661743E-2,9.798174591E0
9.894192917E-1,-7.529342651E-2,7.619155884E-2,9.782008209E0
9.994052917E-1,-6.646179199E-2,7.948471069E-2,9.805808716E0
1.009391292E0,-7.828720093E-2,7.544311523E-2,9.795031128E0
1.019377292E0,-7.828720093E-2,9.056167603E-2,9.798024902E0
1.029363292E0,-7.200027466E-2,8.352630615E-2,9.786199493E0
1.039349292E0,-6.691085815E-2,7.828720093E-2,9.784852295E0
1.049335292E0,-7.379653931E-2,8.247848511E-2,9.791139221E0
1.059321292E0,-8.547225952E-2,7.394622803E-2,9.794282684E0
1.069307292E0,-7.813751221E-2,6.885681152E-2,9.788444824E0
1.079293292E0,-6.167175293E-2,7.529342651E-2,9.802066498E0
1.089279292E0,-7.873626709E-2,6.870712280E-2,9.792037354E0
1.099266292E0,-7.259902954E-2,7.379653931E-2,9.792486420E0
1.109252292E0,-6.256988525E-2,8.756790161E-2,9.792336731E0
1.119238292E0,-7.080276489E-2,8.876541138E-2,9.795031128E0
1.129224292E0,-7.125183105E-2,7.798782349E-2,9.789941711E0
1.139210292E0,-7.604187012E-2,6.825805664E-2,9.797426147E0
1.149196292E0,-6.691085815E-2,7.649093628E-2,9.790241089E0
1.159182292E0,-7.529342651E-2,8.906478882E-2,9.790540466E0
1.169168292E0,-9.595046997E-2,8.337661743E-2,9.797875214E0
1.179154292E0,-8.517288208E-2,7.244934082E-2,9.796677704E0
1.189140292E0,-7.244934082E-2,7.634124756E-2,9.807455292E0
1.199126292E0,-6.750961304E-2,7.140151978E-2,9.777816925E0
1.209112292E0,-6.481521606E-2,6.990463257E-2,9.793234863E0
1.219099292E0,-7.409591675E-2,8.427474976E-2,9.799372101E0
1.229085292E0,-7.993377686E-2,8.322692871E-2,9.793234863E0
1.239071292E0,-8.547225952E-2,7.289840698E-2,9.794881439E0
1.249057292E0,-8.292755127E-2,6.915618896E-2,9.796378326E0
1.259043292E0,-8.038284302E-2,6.930587769E-2,9.793234863E0
1.269029292E0,-8.038284302E-2,7.469467163E-2,9.787397003E0
1.279015292E0,-6.900650024E-2,8.322692871E-2,9.794282684E0
1.289001292E0,-6.286926270E-2,7.664062500E-2,9.797426147E0
1.298987292E0,-7.394622803E-2,8.247848511E-2,9.796528015E0
1.308973292E0,-7.753875732E-2,7.694000244E-2,9.789193268E0
1.318959292E0,-7.200027466E-2,7.888595581E-2,9.793983307E0
1.328945292E0,-7.379653931E-2,7.783813477E-2,9.805209961E0
1.338931292E0,-7.469467163E-2,8.232879639E-2,9.797276459E0
1.348918292E0,-8.232879639E-2,8.217910767E-2,9.787247314E0
1.358904292E0,-6.765930176E-2,7.424560547E-2,9.790540466E0
1.368890292E0,-6.286926270E-2,8.262817383E-2,9.786049805E0
1.378876292E0,-6.286926270E-2,7.065307617E-2,9.812993774E0
1.388862292E0,-6.406677246E-2,8.068222046E-2,9.787696381E0
1.398848292E0,-8.472381592E-2,9.056167603E-2,9.795180817E0
1.408834292E0,-7.514373779E-2,7.544311523E-2,9.792187042E0
1.418820292E0,-7.289840698E-2,8.637039185E-2,9.803862762E0
1.428806292E0,-7.424560547E-2,8.068222046E-2,9.793983307E0
1.438792292E0,-8.217910767E-2,7.843688965E-2,9.788893890E0
1.448778292E0,-7.349716187E-2,7.349716187E-2,9.784103851E0
1.458764292E0,-7.214996338E-2,8.083190918E-2,9.794881439E0
1.468750292E0,-8.816665649E-2,7.484436035E-2,9.787247314E0
1.478737292E0,-8.532257080E-2,7.349716187E-2,9.804910583E0
1.488723292E0,-7.544311523E-2,8.232879639E-2,9.794432373E0
1.498709292E0,-6.975494385E-2,9.116043091E-2,9.791737976E0
1.508695292E0,-8.891510010E-2,8.577163696E-2,9.807006226E0
1.518681292E0,-6.092330933E-2,7.783813477E-2,9.798324280E0
1.528667292E0,-7.364685059E-2,6.855743408E-2,9.785600739E0
1.538653292E0,-8.083190918E-2,8.352630615E-2,9.773326263E0
1.548639292E0,-7.200027466E-2,7.768844604E-2,9.786798248E0
1.558625292E0,-7.679031372E-2,7.783813477E-2,9.801018677E0
1.568611292E0,-7.649093628E-2,7.589218140E-2,9.796528015E0
1.578597292E0,-7.738906860E-2,7.469467163E-2,9.792336731E0
1.588583292E0,-7.918533325E-2,7.813751221E-2,9.804012451E0
1.598569292E0,-6.900650024E-2,7.499404907E-2,9.801018677E0
1.608556292E0,-7.170089722E-2,8.202941895E-2,9.795180817E0
1.618542292E0,-7.334747314E-2,7.304809570E-2,9.797276459E0
1.628528292E0,-6.586303711E-2,7.424560547E-2,9.782606964E0
1.638514292E0,-7.110214233E-2,7.514373779E-2,9.785600739E0
1.648500292E0,-7.244934082E-2,8.307723999E-2,9.790690155E0
